Tila;Epoch-aika;Päivä;Kuukausi;Vuosi;Tunti;Minuutti;Määrä
1478;1573497480;11;11;2019;21;38;0
1478;1573498440;11;11;2019;21;54;0
1478;1573499400;11;11;2019;22;10;0
1478;1573500360;11;11;2019;22;26;0
1478;1573501320;11;11;2019;22;42;0
1478;1573502280;11;11;2019;22;58;0
1478;1573503240;11;11;2019;23;14;0
1478;1573504200;11;11;2019;23;30;0
1478;1573505160;11;11;2019;23;46;0
1478;1573506120;12;11;2019;00;02;0
1478;1573507080;12;11;2019;00;18;0
1478;1573508040;12;11;2019;00;34;0
1478;1573509000;12;11;2019;00;50;0
1478;1573509960;12;11;2019;01;06;0
1478;1573510920;12;11;2019;01;22;0
1478;1573511880;12;11;2019;01;38;0
1478;1573512840;12;11;2019;01;54;0
1478;1573513800;12;11;2019;02;10;0
1478;1573514760;12;11;2019;02;26;0
1478;1573515720;12;11;2019;02;42;0
1478;1573516680;12;11;2019;02;58;0
1478;1573517640;12;11;2019;03;14;0
1478;1573518600;12;11;2019;03;30;0
1478;1573519560;12;11;2019;03;46;0
1478;1573520520;12;11;2019;04;02;0
1478;1573521480;12;11;2019;04;18;0
1478;1573522440;12;11;2019;04;34;0
1478;1573523400;12;11;2019;04;50;0
1478;1573524360;12;11;2019;05;06;0
1478;1573525320;12;11;2019;05;22;0
1478;1573526280;12;11;2019;05;38;0
1478;1573527240;12;11;2019;05;54;0
1478;1573528200;12;11;2019;06;10;0
1478;1573529160;12;11;2019;06;26;0
1478;1573530120;12;11;2019;06;42;0
1478;1573531080;12;11;2019;06;58;0
1478;1573532040;12;11;2019;07;14;0
1478;1573533000;12;11;2019;07;30;0
1478;1573533960;12;11;2019;07;46;0
1478;1573534920;12;11;2019;08;02;0
1478;1573535880;12;11;2019;08;18;4
1478;1573536840;12;11;2019;08;34;6
1478;1573537800;12;11;2019;08;50;5
1478;1573538760;12;11;2019;09;06;6
1478;1573539720;12;11;2019;09;22;6
1478;1573540680;12;11;2019;09;38;6
1478;1573541640;12;11;2019;09;54;5
1478;1573542600;12;11;2019;10;10;4
1478;1573543560;12;11;2019;10;26;4
1478;1573544520;12;11;2019;10;42;4
1478;1573545480;12;11;2019;10;58;3
1478;1573546440;12;11;2019;11;14;1
1478;1573547400;12;11;2019;11;30;1
1478;1573548360;12;11;2019;11;46;2
1478;1573549320;12;11;2019;12;02;6
1478;1573550280;12;11;2019;12;18;15
1478;1573551240;12;11;2019;12;34;14
1478;1573552200;12;11;2019;12;50;16
1478;1573553160;12;11;2019;13;06;15
1478;1573554120;12;11;2019;13;22;17
1478;1573555080;12;11;2019;13;38;20
